Date,Time,Open,High,Low,Close,Volume
2010.01.04,0:00,1.43259,1.44543,1.42569,1.44111,45505
2010.01.05,0:00,1.44107,1.4483,1.43467,1.43624,46686
2010.01.06,0:00,1.43632,1.44338,1.42831,1.43998,45435
2010.01.07,0:00,1.44001,1.44456,1.42994,1.43041,44298
2010.01.08,0:00,1.43039,1.44263,1.42634,1.44085,34425
2010.01.11,0:00,1.44125,1.45545,1.44121,1.4512,45827
2010.01.12,0:00,1.45128,1.45448,1.44537,1.4492,46203
2010.01.13,0:00,1.44918,1.45785,1.44561,1.45052,46521
2010.01.14,0:00,1.45105,1.45547,1.44478,1.44978,44172
2010.01.15,0:00,1.44978,1.45108,1.43365,1.43857,47001
2010.01.18,0:00,1.4348,1.43995,1.43348,1.43872,32948
2010.01.19,0:00,1.43881,1.44131,1.42527,1.42869,49145
2010.01.20,0:00,1.42869,1.4289,1.40818,1.41062,56564
2010.01.21,0:00,1.41062,1.41415,1.40285,1.40837,57999
2010.01.22,0:00,1.40833,1.41807,1.40662,1.41363,53667
2010.01.25,0:00,1.41523,1.41938,1.41278,1.41481,42566
2010.01.26,0:00,1.41476,1.41784,1.40422,1.4077,51832
2010.01.27,0:00,1.40773,1.40963,1.39935,1.40327,54404
2010.01.28,0:00,1.40332,1.40518,1.39464,1.39609,52813
2010.01.29,0:00,1.39616,1.3987,1.3861,1.38611,50938
2010.02.01,0:00,1.38627,1.39376,1.38521,1.39325,46608
2010.02.02,0:00,1.39329,1.39738,1.38858,1.39671,43884
2010.02.03,0:00,1.39675,1.40255,1.38855,1.38912,42636
2010.02.04,0:00,1.38894,1.39023,1.37149,1.37273,46903
2010.02.05,0:00,1.37277,1.37448,1.35854,1.36776,57504
2010.02.08,0:00,1.36561,1.37128,1.3621,1.36552,47960
2010.02.09,0:00,1.3655,1.3838,1.36488,1.37938,54293
2010.02.10,0:00,1.37942,1.38119,1.36767,1.37337,50134
2010.02.11,0:00,1.37336,1.38,1.35955,1.36885,47992
2010.02.12,0:00,1.36885,1.36943,1.35311,1.36309,49239
2010.02.15,0:00,1.36158,1.36322,1.35785,1.35973,28014
2010.02.16,0:00,1.35981,1.37785,1.35879,1.37587,46771
2010.02.17,0:00,1.37595,1.37881,1.35859,1.35993,47572
2010.02.18,0:00,1.35992,1.36537,1.34835,1.34923,51940
2010.02.19,0:00,1.34952,1.36174,1.34433,1.36116,50902
2010.02.22,0:00,1.36133,1.36531,1.35745,1.35996,38772
2010.02.23,0:00,1.35993,1.36913,1.34961,1.35136,48684
2010.02.24,0:00,1.35141,1.3625,1.3502,1.35372,45827
2010.02.25,0:00,1.35372,1.35702,1.34504,1.35383,49405
2010.02.26,0:00,1.35388,1.36826,1.353,1.3631,48710
2010.03.01,0:00,1.36222,1.36541,1.34601,1.35677,47959
2010.03.02,0:00,1.35671,1.36213,1.34349,1.36087,48935
2010.03.03,0:00,1.36092,1.37351,1.35921,1.3694,49643
2010.03.04,0:00,1.3695,1.37117,1.35511,1.35793,45572
2010.03.05,0:00,1.35793,1.36297,1.353,1.36198,36121
2010.03.08,0:00,1.36307,1.37038,1.36056,1.36267,31425
2010.03.09,0:00,1.36266,1.36347,1.3537,1.36013,34288
2010.03.10,0:00,1.36013,1.36793,1.3544,1.36548,31699
2010.03.11,0:00,1.36548,1.36864,1.36206,1.36765,30264
2010.03.12,0:00,1.3677,1.37954,1.36693,1.37678,34667
2010.03.15,0:00,1.37612,1.37746,1.36423,1.36724,34317
2010.03.16,0:00,1.36731,1.37825,1.36566,1.37627,38136
2010.03.17,0:00,1.37642,1.38171,1.37261,1.37353,37087
2010.03.18,0:00,1.37342,1.37402,1.35862,1.36072,39796
2010.03.19,0:00,1.36075,1.36263,1.35029,1.35301,35368
2010.03.22,0:00,1.35174,1.35676,1.34629,1.35578,34603
2010.03.23,0:00,1.35574,1.35687,1.34755,1.3492,40942
2010.03.24,0:00,1.34916,1.34946,1.3305,1.33281,46203
2010.03.25,0:00,1.33276,1.33861,1.32671,1.32735,40724
2010.03.26,0:00,1.32732,1.34231,1.32725,1.34075,43288
2010.03.29,0:00,1.34719,1.35056,1.34172,1.34755,37315
2010.03.30,0:00,1.34756,1.35367,1.33951,1.34194,36027
2010.03.31,0:00,1.3419,1.35477,1.33841,1.35062,43433
2010.04.01,0:00,1.35065,1.35904,1.346,1.35837,38590
2010.04.02,0:00,1.3584,1.35902,1.34748,1.3503,20748
2010.04.05,0:00,1.349,1.35378,1.34599,1.34818,21957
2010.04.06,0:00,1.34823,1.34959,1.33551,1.33932,37560
2010.04.07,0:00,1.3393,1.34078,1.3326,1.33388,36007
2010.04.08,0:00,1.33394,1.33657,1.32821,1.33572,37820
2010.04.09,0:00,1.3357,1.34985,1.33414,1.34984,37363
2010.04.12,0:00,1.36107,1.36913,1.35656,1.35858,42221
2010.04.13,0:00,1.35862,1.36267,1.35463,1.36147,39476
2010.04.14,0:00,1.36147,1.3678,1.35959,1.36508,43278
2010.04.15,0:00,1.36516,1.36665,1.35215,1.3579,41184
2010.04.16,0:00,1.35789,1.35806,1.34726,1.35017,42714
2010.04.19,0:00,1.34769,1.34972,1.3416,1.34888,37823
2010.04.20,0:00,1.34887,1.35222,1.34283,1.34403,36069
2010.04.21,0:00,1.34409,1.34467,1.33579,1.33882,37810
2010.04.22,0:00,1.33878,1.34208,1.32651,1.32866,42655
2010.04.23,0:00,1.32875,1.3399,1.32016,1.33811,45949
2010.04.26,0:00,1.3346,1.34147,1.32916,1.33919,42180
2010.04.27,0:00,1.33923,1.3413,1.31445,1.31619,51600
2010.04.28,0:00,1.31644,1.32654,1.31141,1.32052,59113
2010.04.29,0:00,1.32061,1.32777,1.31838,1.32428,47335
2010.04.30,0:00,1.32408,1.33417,1.32248,1.32936,43675
2010.05.03,0:00,1.33296,1.33326,1.3154,1.31888,36212
2010.05.04,0:00,1.31884,1.32131,1.29629,1.29718,48690
2010.05.05,0:00,1.29702,1.29956,1.27891,1.28182,57402
2010.05.06,0:00,1.28191,1.28557,1.2527,1.26296,73442
2010.05.07,0:00,1.26296,1.27973,1.2586,1.27518,83142
2010.05.10,0:00,1.29299,1.30934,1.27588,1.27864,78501
2010.05.11,0:00,1.27867,1.28022,1.26266,1.26328,67118
2010.05.12,0:00,1.26329,1.27383,1.26051,1.26334,60776
2010.05.13,0:00,1.263,1.26834,1.25159,1.25223,49365
2010.05.14,0:00,1.25223,1.25753,1.23529,1.23566,58712
2010.05.17,0:00,1.23485,1.24138,1.22332,1.23968,149146
2010.05.18,0:00,1.23971,1.24437,1.21581,1.2171,72967
2010.05.19,0:00,1.21709,1.243,1.21435,1.2422,46987
2010.05.20,0:00,1.2421,1.25969,1.22957,1.24683,43592
2010.05.21,0:00,1.2471,1.26711,1.24628,1.25712,61466
2010.05.24,0:00,1.25461,1.25622,1.23316,1.2344,51026
2010.05.25,0:00,1.23491,1.23877,1.21776,1.23704,51934
2010.05.26,0:00,1.23709,1.23709,1.21537,1.21609,49658
2010.05.27,0:00,1.21615,1.23937,1.21534,1.23563,58782
2010.05.28,0:00,1.23565,1.24518,1.22651,1.2272,54622
2010.05.31,0:00,1.22807,1.23341,1.22665,1.2308,34834
2010.06.01,0:00,1.23061,1.23487,1.21107,1.22115,66264
